								
								
Up=40%								
Grup tasques 0	T_i	C_i		Phi_i		U_p(i)		
Px_00	55,0000	3,5579		25,17000		0,0647		
Px_01	66,0000	3,2917		43,65000		0,0499		
Px_02	77,0000	0,3799		62,87000		0,0049		
Px_03	85,5556	6,3983		3,85000		0,0748		
Px_04	105,0000	6,4946		14,52000		0,0619		
Px_05	115,5000	2,8009		72,17000		0,0243		
Px_06	154,0000	3,6195		103,30000		0,0235		
Px_07	177,6923	11,1649		133,05000		0,0628		
Px_08	330,0000	1,0750		164,20000		0,0033		
Px_09	385,0000	11,5651		220,74000		0,0300		
								
Grup tasques 1	T_i	C_i		Phi_i		U_p		
Px_10	55,0000	1,5917		52,9600		0,0289		
Px_11	67,9412	2,1209		60,3300		0,0312		
Px_12	72,1875	1,5818		22,6500		0,0219		
Px_13	82,5000	3,5458		46,8400		0,0430		
Px_14	88,8462	1,8444		14,3800		0,0208		
Px_15	105,0000	5,5961		84,9400		0,0533		
Px_16	288,7500	17,1078		119,9300		0,0592		
Px_17	385,0000	11,7606		275,7500		0,0305		
Px_18	462,0000	23,6036		442,9900		0,0511		
Px_19	577,5000	34,6648		106,7800		0,0600		
								
Grup tasques 2	T_i	C_i		Phi_i		U_p		
Px_20	55,0000	1,9904		12,8800		0,0362		
Px_21	66,0000	1,8613		5,1200		0,0282		
Px_22	67,9412	1,0073		52,4300		0,0148		
Px_23	85,5556	2,9941		1,9200		0,0350		
Px_24	92,4000	2,9689		13,3800		0,0321		
Px_25	135,8824	8,0578		129,2900		0,0593		
Px_26	144,3750	10,2616		68,9000		0,0711		
Px_27	154,0000	5,0885		18,8300		0,0330		
Px_28	177,6293	9,9142		176,0800		0,0558		
Px_29	1155,0000	39,7645		370,2400		0,0344		
								
Grup tasques 3	T_i	C_i		Phi_i		U_p		
Px_30	55,0000	3,9591		21,0400		0,0720		
Px_31	66,0000	2,0096		50,1000		0,0304		
Px_32	70,0000	3,4862		56,2100		0,0498		
Px_33	92,4000	3,1100		16,7700		0,0337		
Px_34	100,4348	4,0949		46,3500		0,0408		
Px_35	105,0000	2,6210		39,1900		0,0250		
Px_36	110,0000	5,4548		22,7500		0,0496		
Px_37	121,5789	7,3546		104,3600		0,0605		
Px_38	165,0000	6,1673		53,4900		0,0374		
Px_39	210,0000	0,1916		118,5000		0,0009		
								
Grup tasques 4	T_i	C_i		Phi_i		U_p		
Px_40	55,0000	4,2689		16,2800		0,0776		
Px_41	62,4324	5,5505		6,4600		0,0889		
Px_42	79,6552	5,1671		12,1400		0,0649		
Px_43	85,5556	3,1302		31,3100		0,0366		
Px_44	121,5789	1,1091		41,9500		0,0091		
Px_45	128,3333	0,5739		80,3000		0,0045		
Px_46	135,8824	9,5392		130,0800		0,0702		
Px_47	154,0000	2,0960		98,9500		0,0136		
Px_48	256,6667	1,3284		34,1000		0,0052		
Px_49	462,0000	13,6115		42,7400		0,0295		
								
Grup tasques 5	T_i	C_i		Phi_i		U_p		
Px_50	55,0000	1,3273		2,6900		0,0241		
Px_51	66,0000	0,5518		50,2700		0,0084		
Px_52	72,1875	6,1973		23,0800		0,0859		
Px_53	110,0000	6,6921		75,2100		0,0608		
Px_54	128,3333	5,9071		103,4200		0,0460		
Px_55	135,8824	3,2174		132,6800		0,0237		
Px_56	177,6923	0,7400		150,0100		0,0042		
Px_57	231,0000	10,3348		50,5500		0,0447		
Px_58	385,0000	21,1341		16,1500		0,0549		
Px_59	770,0000	36,4258		292,9300		0,0473		
								
Grup tasques 6	T_i	C_i		Phi_i		U_p		
Px_60	55,0000	3,7382		15,4800		0,0680		
Px_61	59,2308	2,1456		44,7900		0,0362		
Px_62	72,1875	0,0844		22,1300		0,0012		
Px_63	77,0000	4,0308		2,7900		0,0523		
Px_64	105,0000	3,9773		48,0400		0,0379		
Px_65	110,0000	5,8033		2,9700		0,0528		
Px_66	121,5789	5,1908		73,6000		0,0427		
Px_67	144,3750	6,8417		127,1000		0,0474		
Px_68	154,0000	1,5651		149,6300		0,0102		
Px_69	288,7500	14,8509		27,0800		0,0514		
								
Grup tasques 7	T_i	C_i		Phi_i		U_p		
Px_70	55,0000	2,8728		52,1500		0,0522		
Px_71	59,2308	3,0524		24,4600		0,0515		
Px_72	67,9412	0,8487		38,3000		0,0125		
Px_73	96,2500	6,0479		67,2600		0,0628		
Px_74	100,4348	5,3117		37,5200		0,0529		
Px_75	154,0000	0,6390		125,7200		0,0041		
Px_76	165,0000	3,0367		58,1400		0,0184		
Px_77	256,6667	4,0252		249,2200		0,0157		
Px_78	385,0000	20,8082		215,9600		0,0540		
Px_79	2310,0000	174,9493		318,6900		0,0757		
								
Grup tasques 8	T_i	C_i		Phi_i		U_p		
Px_80	55,0000	2,6453		39,9200		0,0481		
Px_81	67,9412	1,5583		14,6200		0,0229		
Px_82	115,5000	2,2323		7,3500		0,0193		
Px_83	165,0000	7,8573		155,2600		0,0476		
Px_84	177,6923	3,7477		177,4300		0,0211		
Px_85	192,5000	5,1221		70,1000		0,0266		
Px_86	288,7500	21,2875		99,6100		0,0737		
Px_87	330,0000	19,7984		322,2700		0,0600		
Px_88	462,0000	18,5417		162,4000		0,0401		
Px_89	770,0000	31,1742		229,0800		0,0405		
								
Grup tasques9	T_i	C_i		Phi_i		U_p		
Px_90	55,0000	2,3564		34,0000		0,0428		
Px_91	67,9412	3,3899		1,7700		0,0499		
Px_92	70,0000	3,1052		52,6200		0,0444		
Px_93	85,5556	3,2375		2,2800		0,0378		
Px_94	135,8824	4,0951		80,9700		0,0301		
Px_95	165,0000	5,1385		132,5300		0,0311		
Px_96	330,0000	3,7619		67,4600		0,0114		
Px_97	462,0000	34,3960		322,3000		0,0745		
Px_98	770,0000	41,3422		338,5200		0,0537		
Px_99	1155,0000	28,0214		725,3900		0,0243		
								
Servers	T_s	C_s						
DS	55	14,09						
SS	55	19,3106						
PE	55	18,734						
PS	55	18,7337						
								
								
								
								
Up=60%								
Grup tasques 0	T_i	C_i		Phi_i		U_p(i)		
Py_00	55,0000	5,3369		25,17000		0,0970		
Py_01	66,0000	4,9375		43,65000		0,0748		
Py_02	77,0000	0,5699		62,87000		0,0074		
Py_03	85,5556	9,5974		3,85000		0,1122		
Py_04	105,0000	9,7419		14,52000		0,0928		
Py_05	115,5000	4,2014		72,17000		0,0364		
Py_06	154,0000	5,4293		103,30000		0,0353		
Py_07	177,6923	16,7474		133,05000		0,0942		
Py_08	330,0000	1,6125		164,20000		0,0049		
Py_05	385,0000	17,3477		220,74000		0,0451		
								
Grup tasques 1	T_i	C_i		Phi_i		U_p		
Py_10	55,0000	2,3876		52,9600		0,0434		
Py_11	67,9412	3,1813		60,3300		0,0468		
Py_12	72,1875	2,3728		22,6500		0,0329		
Py_13	82,5000	5,3187		46,8400		0,0645		
Py_14	88,8462	2,7666		14,3800		0,0311		
Py_15	105,0000	8,3942		84,9400		0,0799		
Py_16	288,7500	25,6618		119,9300		0,0889		
Py_17	385,0000	17,6408		275,7500		0,0458		
Py_18	462,0000	35,4053		442,9900		0,0766		
Py_19	577,5000	51,9972		106,7800		0,0900		
								
Grup tasques 2	T_i	C_i		Phi_i		U_p		
Py_20	55,0000	2,9855		12,8800		0,0543		
Py_21	66,0000	2,7919		5,1200		0,0423		
Py_22	67,9412	1,5110		52,4300		0,0222		
Py_23	85,5556	4,4911		1,9200		0,0525		
Py_24	92,4000	4,4533		13,3800		0,0482		
Py_25	135,8824	12,0866		129,2900		0,0889		
Py_26	144,3750	15,3924		68,9000		0,1066		
Py_27	154,0000	7,6327		18,8300		0,0496		
Py_28	177,6293	14,8713		176,0800		0,0837		
Py_29	1155,0000	59,6467		370,2400		0,0516		
								
Grup tasques 3	T_i	C_i		Phi_i		U_p		
Py_30	55,0000	5,9387		21,0400		0,1080		
Py_31	66,0000	3,0144		50,1000		0,0457		
Py_32	70,0000	5,2293		56,2100		0,0747		
Py_33	92,4000	4,6650		16,7700		0,0505		
Py_34	100,4348	6,1424		46,3500		0,0612		
Py_35	105,0000	3,9314		39,1900		0,0374		
Py_36	110,0000	8,1821		22,7500		0,0744		
Py_37	121,5789	11,0319		104,3600		0,0907		
Py_38	165,0000	9,2509		53,4900		0,0561		
Py_39	210,0000	0,2873		118,5000		0,0014		
								
Grup tasques 4	T_i	C_i		Phi_i		U_p		
